m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.38,0.38,-0.5740000000000001,-0.134,-0.42399999999999993,-0.32799999999999996,-0.538,-0.086,-0.39999999999999997,-0.296,-0.426,-0.036000000000000004,-0.238,-0.14400000000000002
0.39,0.39,-0.58,-0.13399999999999998,-0.43399999999999994,-0.33999999999999997,-0.534,-0.06,-0.39199999999999996,-0.26399999999999996,-0.4139999999999999,-0.055999999999999994,-0.21599999999999997,-0.142
0.41,0.41,-0.588,-0.13999999999999999,-0.43999999999999995,-0.354,-0.528,-0.08199999999999999,-0.37999999999999995,-0.282,-0.41400000000000003,-0.064,-0.25,-0.142
0.42,0.42,-0.592,-0.11199999999999999,-0.45599999999999996,-0.36800000000000005,-0.558,-0.06999999999999998,-0.37999999999999995,-0.25800000000000006,-0.396,-0.01200000000000001,-0.184,-0.198
0.43,0.43,-0.59,-0.048000000000000015,-0.46399999999999997,-0.3480000000000001,-0.552,-0.020000000000000018,-0.416,-0.29000000000000004,-0.41200000000000003,-0.01200000000000001,-0.186,-0.158
0.44,0.44,-0.618,-0.13399999999999998,-0.46599999999999997,-0.3440000000000001,-0.5680000000000001,-0.06599999999999998,-0.42599999999999993,-0.28200000000000003,-0.402,-0.021999999999999992,-0.21000000000000002,-0.10800000000000001
0.45,0.45,-0.586,-0.154,-0.44000000000000006,-0.362,-0.534,-0.08199999999999999,-0.38400000000000006,-0.284,-0.368,-0.04200000000000001,-0.15000000000000002,-0.12200000000000003
0.46,0.46,-0.604,-0.152,-0.474,-0.37799999999999995,-0.59,-0.08399999999999999,-0.45199999999999996,-0.2899999999999999,-0.404,-0.04000000000000001,-0.19799999999999998,-0.138
0.47,0.47,-0.606,-0.164,-0.45400000000000007,-0.362,-0.5680000000000001,-0.10200000000000001,-0.40800000000000003,-0.30399999999999994,-0.374,-0.023999999999999994,-0.17400000000000002,-0.10600000000000001
0.48,0.48,-0.608,-0.13799999999999998,-0.498,-0.35,-0.5720000000000001,-0.09999999999999998,-0.43999999999999995,-0.31199999999999994,-0.368,-0.057999999999999996,-0.168,-0.11200000000000002
0.49,0.49,-0.604,-0.172,-0.4620000000000001,-0.376,-0.562,-0.08399999999999999,-0.3960000000000001,-0.294,-0.362,-0.013999999999999985,-0.17,-0.10600000000000001
0.51,0.51,-0.638,-0.156,-0.516,-0.36599999999999994,-0.55,-0.092,-0.44999999999999996,-0.29999999999999993,-0.386,-0.04000000000000001,-0.2,-0.13
0.52,0.52,-0.614,-0.178,-0.4760000000000001,-0.38199999999999995,-0.604,-0.098,-0.44200000000000006,-0.33599999999999997,-0.356,-0.03799999999999998,-0.164,-0.07800000000000001
0.53,0.53,-0.602,-0.13999999999999999,-0.474,-0.344,-0.624,-0.07799999999999999,-0.46799999999999997,-0.35,-0.32399999999999995,-0.016000000000000014,-0.146,-0.07399999999999998
0.54,0.54,-0.59,-0.12800000000000003,-0.508,-0.31799999999999995,-0.582,-0.07000000000000003,-0.42599999999999993,-0.29599999999999993,-0.32199999999999995,-0.010000000000000009,-0.19,-0.057999999999999996
0.55,0.55,-0.622,-0.09,-0.44399999999999995,-0.30200000000000005,-0.632,-0.04799999999999999,-0.46399999999999997,-0.32600000000000007,-0.30999999999999994,-0.021999999999999992,-0.07599999999999996,-0.04999999999999999
0.56,0.56,-0.608,-0.096,-0.496,-0.31600000000000006,-0.62,-0.04200000000000001,-0.47,-0.31800000000000006,-0.354,-0.025999999999999995,-0.142,-0.045999999999999985
0.57,0.57,-0.638,-0.1,-0.47,-0.3320000000000001,-0.622,-0.04999999999999999,-0.46799999999999997,-0.30400000000000005,-0.31000000000000005,-0.020000000000000018,-0.07400000000000001,-0.05200000000000002
0.58,0.58,-0.618,-0.10999999999999999,-0.514,-0.3420000000000001,-0.61,-0.032,-0.45599999999999996,-0.3320000000000001,-0.31000000000000005,-0.008000000000000007,-0.14600000000000002,-0.06200000000000003
0.59,0.59,-0.626,-0.098,-0.48,-0.3360000000000001,-0.65,-0.04199999999999998,-0.484,-0.32800000000000007,-0.268,0.011999999999999983,-0.07,-0.04000000000000001
0.61,0.61,-0.644,-0.10599999999999998,-0.528,-0.3500000000000001,-0.638,-0.043999999999999984,-0.49,-0.3340000000000001,-0.30200000000000005,-0.010000000000000009,-0.14800000000000002,-0.04400000000000001
0.62,0.62,-0.654,-0.098,-0.52,-0.3380000000000001,-0.642,-0.04999999999999999,-0.5,-0.3360000000000001,-0.27,0.015999999999999986,-0.07200000000000001,-0.01999999999999999
0.63,0.63,-0.6599999999999999,-0.12199999999999998,-0.5379999999999999,-0.3460000000000001,-0.652,-0.04999999999999999,-0.488,-0.32600000000000007,-0.306,-0.018000000000000002,-0.146,-0.03
0.64,0.64,-0.66,-0.10199999999999998,-0.498,-0.3360000000000001,-0.6759999999999999,-0.07999999999999999,-0.518,-0.33000000000000007,-0.28800000000000003,0.0020000000000000018,-0.05000000000000002,0.0040000000000000036
0.65,0.65,-0.654,-0.118,-0.522,-0.37200000000000005,-0.644,-0.045999999999999985,-0.504,-0.3320000000000001,-0.28200000000000003,-0.020000000000000018,-0.10199999999999998,-0.04000000000000001
